gene_id	scaffold	start	end	strand	product
PcrG000083	h1tg000002l	1374149	1380570	+	
PcrG000084	h1tg000002l	1384854	1388029	-	
PcrG000085	h1tg000002l	1389404	1394478	+	
PcrG000086	h1tg000002l	1425468	1429920	+	
PcrG000087	h1tg000002l	1549461	1559530	+	
PcrG000088	h1tg000002l	1565216	1565959	+	
PcrG000089	h1tg000002l	1581719	1592151	-	
PcrG000090	h1tg000002l	1600825	1601886	-	
PcrG000091	h1tg000002l	1621868	1622920	-	
PcrG000092	h1tg000002l	1627060	1648972	-	
PcrG000093	h1tg000002l	1650061	1664507	-	
PcrG000094	h1tg000002l	1683200	1718608	-	
PcrG000095	h1tg000002l	1760283	1786942	-	
PcrG000096	h1tg000002l	1787294	1802127	-	
PcrG000097	h1tg000002l	1818928	1850030	-	
PcrG000098	h1tg000002l	1980304	2031524	-	
PcrG000099	h1tg000002l	2035861	2036187	+	
PcrG000100	h1tg000002l	2098966	2100060	+	
PcrG000101	h1tg000002l	2102882	2111529	-	
PcrG000102	h1tg000002l	2137924	2151140	+	
PcrG000103	h1tg000002l	2153259	2156505	-	
PcrG000104	h1tg000002l	2165402	2196661	+	
PcrG000105	h1tg000002l	2278010	2280499	+	
PcrG000106	h1tg000002l	2281276	2282531	-	
PcrG000107	h1tg000002l	2285702	2297835	+	
PcrG000108	h1tg000002l	2299480	2315627	-	
PcrG000109	h1tg000002l	2318008	2319734	-	
PcrG000110	h1tg000002l	2331500	2344224	+	
PcrG000111	h1tg000002l	2345539	2348336	-	
PcrG000112	h1tg000002l	2350498	2361052	-	
PcrG000113	h1tg000002l	2374137	2381957	+	
PcrG000114	h1tg000002l	2436755	2450120	+	
PcrG000115	h1tg000002l	2479309	2485134	+	
PcrG000116	h1tg000002l	2528473	2531671	+	
PcrG000117	h1tg000002l	2537132	2544080	-	
PcrG000118	h1tg000002l	2545952	2556925	+	
PcrG000119	h1tg000002l	2569771	2576132	+	
PcrG000120	h1tg000002l	2630269	2631084	-	
PcrG000121	h1tg000002l	2632254	2635247	+	
PcrG000122	h1tg000002l	2637781	2657198	+	
PcrG000123	h1tg000002l	2662115	2709974	+	
PcrG000124	h1tg000002l	2716605	2719435	-	
PcrG000125	h1tg000002l	2727607	2731427	+	
PcrG000126	h1tg000002l	2737703	2748307	-	
PcrG000127	h1tg000002l	2748625	2761726	+	
PcrG000128	h1tg000002l	2764416	2774814	-	
PcrG000129	h1tg000002l	2782782	2784308	+	
PcrG000130	h1tg000002l	2803159	2809279	+	
PcrG000131	h1tg000002l	2813888	2823928	-	
PcrG000132	h1tg000002l	2861501	2864041	-	
PcrG000133	h1tg000002l	2865736	2875154	+	
PcrG000134	h1tg000002l	2876267	2886825	-	
PcrG000135	h1tg000002l	2895175	2897934	+	
PcrG000136	h1tg000002l	2901629	2909975	-	
PcrG000137	h1tg000002l	2913883	2920489	+	
PcrG000138	h1tg000002l	2922697	2941069	-	
PcrG000139	h1tg000002l	2945173	2958741	-	
PcrG000140	h1tg000002l	2959888	2961933	+	
PcrG000141	h1tg000002l	2970055	3006261	-	
PcrG000142	h1tg000002l	3016874	3017800	-	
PcrG000143	h1tg000002l	3050013	3052845	-	
PcrG000144	h1tg000002l	3113331	3120201	-	
PcrG000145	h1tg000002l	3193075	3215688	+	
PcrG000146	h1tg000002l	3220223	3222706	+	
PcrG000147	h1tg000002l	3224631	3228054	-	
PcrG000148	h1tg000002l	3228253	3230213	+	
PcrG000149	h1tg000002l	3241402	3277655	+	
PcrG000150	h1tg000002l	3281874	3282704	-	
PcrG000151	h1tg000002l	3291838	3292641	+	
PcrG000152	h1tg000002l	3294097	3304028	-	
PcrG000153	h1tg000002l	3304071	3312641	-	
PcrG000154	h1tg000002l	3313017	3323429	+	
PcrG000155	h1tg000002l	3326296	3328660	-	
PcrG000156	h1tg000002l	3347881	3353370	+	
PcrG000157	h1tg000002l	3362674	3367504	+	
PcrG000158	h1tg000002l	3374873	3376036	+	
PcrG000159	h1tg000002l	3380541	3381476	+	
PcrG000160	h1tg000002l	3439101	3448195	+	
PcrG000161	h1tg000003l	370	1452	+	
PcrG000162	h1tg000003l	4963	5388	+	
PcrG000163	h1tg000003l	6617	9162	-	
PcrG000164	h1tg000003l	9346	22652	+	
PcrG000165	h1tg000003l	25862	35880	-	
PcrG000166	h1tg000003l	36688	42832	+	
PcrG000167	h1tg000003l	47194	53439	+	
PcrG000168	h1tg000004l	59113	66217	-	
PcrG000169	h1tg000004l	66482	72253	+	
PcrG000170	h1tg000004l	77141	84499	+	
PcrG000171	h1tg000004l	90152	105120	+	
PcrG000172	h1tg000004l	138449	147988	+	
PcrG000173	h1tg000004l	150644	164039	-	
PcrG000174	h1tg000004l	251355	267605	-	
PcrG000175	h1tg000004l	282081	282887	+	
PcrG000176	h1tg000004l	284947	285747	-	
PcrG000177	h1tg000004l	291859	292665	-	
PcrG000178	h1tg000004l	297537	331125	-	
PcrG000179	h1tg000004l	338983	352984	-	
PcrG000180	h1tg000004l	360231	378879	+	
PcrG000181	h1tg000004l	388114	406592	+	
PcrG000182	h1tg000004l	431439	432646	-	
PcrG000183	h1tg000004l	504423	516375	+	
PcrG000184	h1tg000004l	548412	568642	+	
PcrG000185	h1tg000004l	639135	677682	+	
PcrG000186	h1tg000004l	681868	686907	+	
PcrG000187	h1tg000004l	764942	765517	-	
PcrG000188	h1tg000004l	903235	913860	+	
PcrG000189	h1tg000004l	914617	954937	+	
PcrG000190	h1tg000004l	1082610	1124011	+	
PcrG000191	h1tg000004l	1151365	1167200	+	
PcrG000192	h1tg000004l	1179237	1200157	+	
PcrG000193	h1tg000004l	1214426	1228841	+	
PcrG000194	h1tg000004l	1236584	1236907	+	
PcrG000195	h1tg000004l	1273445	1310831	+	
PcrG000196	h1tg000004l	1335392	1343071	+	
PcrG000197	h1tg000004l	1345738	1346265	+	
PcrG000198	h1tg000004l	1346459	1348408	-	
PcrG000199	h1tg000004l	1428869	1449148	+	
PcrG000200	h1tg000004l	1479230	1492318	+	
PcrG000201	h1tg000004l	1595402	1615374	+	
PcrG000202	h1tg000004l	1618080	1627264	+	
PcrG000203	h1tg000004l	1630808	1634472	-	
PcrG000204	h1tg000004l	1656668	1662457	-	
PcrG000205	h1tg000004l	1665011	1666843	-	
PcrG000206	h1tg000004l	1673095	1674864	+	
PcrG000207	h1tg000004l	1680653	1682410	-	
PcrG000208	h1tg000004l	1682666	1684468	+	
PcrG000209	h1tg000004l	1820939	1827432	-	
PcrG000210	h1tg000005l	7793	9774	+	
PcrG000211	h1tg000005l	10564	15273	+	
PcrG000212	h1tg000005l	20687	23920	+	
PcrG000213	h1tg000005l	25989	38194	-	
PcrG000214	h1tg000005l	43553	51242	-	
PcrG000215	h1tg000005l	51464	58958	+	
PcrG000216	h1tg000005l	63592	83369	-	
PcrG000217	h1tg000005l	85229	87275	-	
PcrG000218	h1tg000005l	93835	95962	-	
PcrG000219	h1tg000005l	103443	105366	-	
PcrG000220	h1tg000005l	114424	136028	-	
PcrG000221	h1tg000005l	227229	229835	-	
PcrG000222	h1tg000005l	238613	240300	+	
PcrG000223	h1tg000005l	254489	255139	+	
PcrG000224	h1tg000005l	261607	262590	-	
PcrG000225	h1tg000005l	275809	278268	+	
PcrG000226	h1tg000006l	1867	2835	-	
PcrG000227	h1tg000006l	22769	26752	-	
PcrG000228	h1tg000006l	32044	33021	+	
PcrG000229	h1tg000006l	46784	47905	+	
PcrG000230	h1tg000006l	52840	56479	+	
PcrG000231	h1tg000006l	65125	66054	+	
PcrG000232	h1tg000006l	73374	75881	+	
PcrG000233	h1tg000006l	78669	79655	+	
PcrG000234	h1tg000006l	108840	110247	-	
PcrG000235	h1tg000006l	114682	119424	+	
PcrG000236	h1tg000006l	120518	125222	+	
PcrG000237	h1tg000006l	128305	132662	+	
PcrG000238	h1tg000006l	135875	143416	+	
PcrG000239	h1tg000006l	145013	151170	+	
PcrG000240	h1tg000006l	182032	187630	+	
PcrG000241	h1tg000006l	208589	212091	+	
PcrG000242	h1tg000006l	215295	219023	+	
PcrG000243	h1tg000006l	238308	241830	+	
PcrG000244	h1tg000006l	267916	269509	+	
PcrG000245	h1tg000006l	270797	274279	-	
PcrG000246	h1tg000006l	293734	295639	-	
PcrG000247	h1tg000006l	348223	350385	-	
PcrG000248	h1tg000006l	356340	360409	-	
PcrG000249	h1tg000006l	367108	378219	-	
PcrG000250	h1tg000006l	453242	458151	+	
PcrG000251	h1tg000006l	467380	490421	+	
PcrG000252	h1tg000006l	497021	507848	+	
PcrG000253	h1tg000006l	510090	516196	+	
PcrG000254	h1tg000006l	525716	533834	+	
PcrG000255	h1tg000006l	566281	569985	+	
PcrG000256	h1tg000006l	570249	572440	+	
PcrG000257	h1tg000006l	601931	609524	+	
PcrG000258	h1tg000006l	612646	626528	+	
PcrG000259	h1tg000006l	653069	657043	+	
PcrG000260	h1tg000006l	684060	704896	+	
PcrG000261	h1tg000006l	711812	716697	+	
PcrG000262	h1tg000006l	741441	742495	-	
PcrG000263	h1tg000006l	781279	784411	+	
PcrG000264	h1tg000006l	808114	815773	+	
PcrG000265	h1tg000006l	818306	819253	-	
PcrG000266	h1tg000006l	840481	841164	+	
PcrG000267	h1tg000006l	842138	842509	+	
PcrG000268	h1tg000006l	843822	857358	-	
PcrG000269	h1tg000006l	914104	915477	+	
PcrG000270	h1tg000006l	923272	924648	+	
PcrG000271	h1tg000006l	935618	936934	+	
PcrG000272	h1tg000006l	959426	960487	+	
PcrG000273	h1tg000006l	984112	984639	+	
PcrG000274	h1tg000006l	1013897	1015270	+	
PcrG000275	h1tg000006l	1027235	1028611	+	
PcrG000276	h1tg000006l	1058249	1059625	+	
PcrG000277	h1tg000006l	1066108	1067481	+	
PcrG000278	h1tg000006l	1091458	1092828	+	
PcrG000279	h1tg000006l	1094676	1110577	-	
PcrG000280	h1tg000006l	1116164	1123347	-	
PcrG000281	h1tg000006l	1126061	1133683	-	
PcrG000282	h1tg000006l	1142931	1145402	-	
PcrG000283	h1tg000006l	1153611	1159782	-	
PcrG000284	h1tg000006l	1173464	1194351	+	
PcrG000285	h1tg000006l	1198573	1213626	-	
PcrG000286	h1tg000006l	1217514	1230737	-	
PcrG000287	h1tg000006l	1231102	1242229	+	
PcrG000288	h1tg000006l	1253430	1255222	+	
PcrG000289	h1tg000006l	1273404	1289135	+	
PcrG000290	h1tg000006l	1295517	1306266	-	
PcrG000291	h1tg000006l	1335073	1338358	-	
PcrG000292	h1tg000006l	1338496	1355901	+	
PcrG000293	h1tg000006l	1362532	1373909	+	
PcrG000294	h1tg000006l	1376433	1393750	-	
PcrG000295	h1tg000006l	1395309	1406001	+	
PcrG000296	h1tg000006l	1410603	1411103	-	
PcrG000297	h1tg000006l	1411558	1437636	+	
PcrG000298	h1tg000006l	1443324	1445264	-	
PcrG000299	h1tg000006l	1448737	1456700	+	
PcrG000300	h1tg000006l	1465517	1521746	-	
PcrG000301	h1tg000006l	1537160	1539424	-	
PcrG000302	h1tg000006l	1679814	1685955	+	
PcrG000303	h1tg000006l	1721132	1796251	+	
PcrG000304	h1tg000006l	1818634	1820567	-	
PcrG000305	h1tg000007l	2773	3275	-	
PcrG000306	h1tg000007l	18584	23278	-	
PcrG000307	h1tg000007l	45248	88611	-	
PcrG000308	h1tg000007l	104803	106578	-	
PcrG000309	h1tg000007l	110404	150593	-	
PcrG000310	h1tg000008l	451183	456174	-	
PcrG000311	h1tg000009l	42278	46270	-	
PcrG000312	h1tg000009l	128475	130360	+	
PcrG000313	h1tg000009l	249953	250927	-	
PcrG000314	h1tg000009l	265456	276425	-	
PcrG000315	h1tg000009l	298222	301575	-	
PcrG000316	h1tg000009l	319940	327476	-	
PcrG000317	h1tg000010l	15525	28852	+	
PcrG000318	h1tg000010l	31956	35575	+	
PcrG000319	h1tg000010l	175980	179326	+	
PcrG000320	h1tg000010l	195380	202579	+	
PcrG000321	h1tg000010l	202608	210104	+	
PcrG000322	h1tg000010l	244294	248256	+	
PcrG000323	h1tg000010l	274720	308732	+	
PcrG000324	h1tg000010l	314837	324485	-	
PcrG000325	h1tg000010l	327024	360881	+	
PcrG000326	h1tg000010l	367770	371342	+	
PcrG000327	h1tg000010l	476949	499355	-	
PcrG000328	h1tg000010l	553182	555236	+	
PcrG000329	h1tg000010l	630534	654908	-	
PcrG000330	h1tg000010l	687704	689355	-	
PcrG000331	h1tg000010l	715355	722971	+	
PcrG000332	h1tg000011l	4045	76511	-	
PcrG000333	h1tg000011l	117218	171895	-	
PcrG000334	h1tg000011l	191310	217822	-	
PcrG000335	h1tg000011l	273627	304697	-	
PcrG000336	h1tg000011l	322259	354827	-	
PcrG000337	h1tg000011l	358815	361642	-	
PcrG000338	h1tg000011l	390678	403360	+	
PcrG000339	h1tg000011l	408734	414436	-	
PcrG000340	h1tg000011l	438253	444407	+	
PcrG000341	h1tg000011l	444684	448508	-	
PcrG000342	h1tg000011l	449872	450681	-	
PcrG000343	h1tg000011l	465924	475294	+	
PcrG000344	h1tg000011l	480950	484025	-	
PcrG000345	h1tg000011l	505628	548796	-	
PcrG000346	h1tg000011l	573074	585421	+	
PcrG000347	h1tg000011l	586714	591302	+	
PcrG000348	h1tg000011l	598640	606928	-	
PcrG000349	h1tg000011l	635805	641696	+	
PcrG000350	h1tg000011l	646343	649761	+	
PcrG000351	h1tg000011l	655320	659767	+	
PcrG000352	h1tg000011l	673476	676299	+	
PcrG000353	h1tg000011l	689794	716008	+	
PcrG000354	h1tg000011l	722849	747437	-	
PcrG000355	h1tg000011l	771674	773034	-	
PcrG000356	h1tg000011l	780250	785730	-	
PcrG000357	h1tg000011l	785990	788812	+	
PcrG000358	h1tg000011l	788861	791163	+	
PcrG000359	h1tg000011l	792449	808972	-	
PcrG000360	h1tg000011l	809401	813446	+	
PcrG000361	h1tg000011l	823608	873210	+	
PcrG000362	h1tg000011l	881305	888165	+	
PcrG000363	h1tg000011l	888612	894656	-	
PcrG000364	h1tg000011l	905080	918220	-	
PcrG000365	h1tg000011l	920024	929094	-	
PcrG000366	h1tg000011l	950110	958545	+	
PcrG000367	h1tg000011l	961884	962441	+	
PcrG000368	h1tg000011l	965093	979135	+	
PcrG000369	h1tg000011l	998031	1005549	-	
PcrG000370	h1tg000011l	1008002	1027938	+	
PcrG000371	h1tg000011l	1032892	1035411	-	
PcrG000372	h1tg000011l	1078902	1079828	-	
PcrG000373	h1tg000011l	1085593	1086480	+	
PcrG000374	h1tg000011l	1218726	1239622	+	
PcrG000375	h1tg000011l	1240283	1241586	-	
PcrG000376	h1tg000011l	1244988	1250129	-	
PcrG000377	h1tg000011l	1251028	1251549	+	
PcrG000378	h1tg000011l	1252762	1259043	+	
PcrG000379	h1tg000011l	1261189	1273398	+	
PcrG000380	h1tg000011l	1286088	1294281	-	
PcrG000381	h1tg000011l	1300077	1301039	+	
PcrG000382	h1tg000011l	1576610	1585071	-	
PcrG000383	h1tg000011l	1586022	1627653	+	
PcrG000384	h1tg000011l	1641442	1645553	-	
PcrG000385	h1tg000011l	1645836	1655174	+	
PcrG000386	h1tg000011l	1665983	1674340	+	
PcrG000387	h1tg000011l	1678815	1704757	-	
PcrG000388	h1tg000011l	1708286	1717732	+	
PcrG000389	h1tg000011l	1721817	1730436	+	
PcrG000390	h1tg000011l	1736073	1741409	+	
PcrG000391	h1tg000011l	1743303	1745138	-	
PcrG000392	h1tg000011l	1760734	1762563	+	
PcrG000393	h1tg000011l	1763963	1765607	-	
PcrG000394	h1tg000011l	1769239	1775196	-	
PcrG000395	h1tg000011l	1801221	1817326	-	
PcrG000396	h1tg000011l	1817670	1822892	+	
PcrG000397	h1tg000011l	1883211	1891486	+	
PcrG000398	h1tg000011l	1892191	1894021	-	
PcrG000399	h1tg000011l	1894645	1920131	+	
PcrG000400	h1tg000011l	1920415	1928871	-	
PcrG000401	h1tg000011l	1929011	1931560	+	
PcrG000402	h1tg000011l	1958411	1964102	+	
PcrG000403	h1tg000011l	1964290	1978429	+	
PcrG000404	h1tg000011l	1979518	1988550	-	
PcrG000405	h1tg000011l	2008347	2016922	+	
PcrG000406	h1tg000011l	2018549	2036544	-	
PcrG000407	h1tg000011l	2036686	2044101	+	
PcrG000408	h1tg000011l	2062947	2070250	+	
PcrG000409	h1tg000011l	2074488	2105742	-	
PcrG000410	h1tg000011l	2107870	2136964	+	
PcrG000411	h1tg000011l	2147665	2149478	+	
PcrG000412	h1tg000011l	2258066	2290720	+	
PcrG000413	h1tg000011l	2308990	2314044	+	
PcrG000414	h1tg000011l	2317930	2322754	-	
PcrG000415	h1tg000011l	2326076	2328665	-	
PcrG000416	h1tg000011l	2330000	2332265	+	
PcrG000417	h1tg000011l	2351097	2355551	-	
PcrG000418	h1tg000011l	2359115	2386988	+	
PcrG000419	h1tg000012l	42164	50293	-	
PcrG000420	h1tg000012l	57290	65332	-	
PcrG000421	h1tg000012l	127073	164594	-	
PcrG000422	h1tg000012l	185856	186419	+	
PcrG000423	h1tg000012l	188843	189844	-	
PcrG000424	h1tg000012l	234267	235476	-	
PcrG000425	h1tg000012l	556226	556717	-	
PcrG000426	h1tg000012l	583029	595992	+	
PcrG000427	h1tg000012l	652752	659786	+	
PcrG000428	h1tg000012l	663637	665131	-	
PcrG000429	h1tg000012l	690844	702664	+	
PcrG000430	h1tg000012l	725869	726603	-	
PcrG000431	h1tg000012l	759331	773109	+	
PcrG000432	h1tg000012l	775426	793872	-	
PcrG000433	h1tg000012l	804248	814737	-	
PcrG000434	h1tg000012l	816425	837517	-	
PcrG000435	h1tg000012l	867441	893040	-	
PcrG000436	h1tg000012l	920385	926674	-	
PcrG000437	h1tg000012l	958842	972106	+	
PcrG000438	h1tg000012l	991008	1041123	+	
PcrG000439	h1tg000012l	1041360	1047861	+	
PcrG000440	h1tg000012l	1053412	1057990	-	
PcrG000441	h1tg000012l	1083473	1115794	-	
PcrG000442	h1tg000012l	1130433	1140718	+	
PcrG000443	h1tg000012l	1148287	1150447	-	
PcrG000444	h1tg000012l	1153269	1179604	-	
PcrG000445	h1tg000012l	1189476	1216003	+	
PcrG000446	h1tg000012l	1255538	1264324	+	
PcrG000447	h1tg000012l	1282977	1283713	+	
PcrG000448	h1tg000012l	1285798	1303956	-	
PcrG000449	h1tg000012l	1304417	1333641	+	
PcrG000450	h1tg000012l	1480287	1481240	-	
PcrG000451	h1tg000012l	1501319	1525345	-	
PcrG000452	h1tg000012l	1533412	1537988	+	
PcrG000453	h1tg000012l	1548195	1567481	-	
PcrG000454	h1tg000012l	1583111	1599480	-	
PcrG000455	h1tg000012l	1602693	1603598	+	
PcrG000456	h1tg000012l	1603720	1604529	+	
PcrG000457	h1tg000013l	21578	30313	-	
PcrG000458	h1tg000013l	41850	45431	+	
PcrG000459	h1tg000013l	46863	49107	+	
PcrG000460	h1tg000013l	51789	71035	-	
PcrG000461	h1tg000013l	71390	78663	+	
PcrG000462	h1tg000013l	80853	83555	-	
PcrG000463	h1tg000013l	104731	114063	+	
PcrG000464	h1tg000013l	116289	138939	-	
PcrG000465	h1tg000013l	184185	191868	+	
PcrG000466	h1tg000013l	209503	232518	+	
PcrG000467	h1tg000013l	234514	239230	-	
PcrG000468	h1tg000013l	241865	245901	+	
PcrG000469	h1tg000013l	256279	257388	-	
PcrG000470	h1tg000013l	263279	264421	+	
PcrG000471	h1tg000013l	278169	297361	+	
PcrG000472	h1tg000013l	317365	330948	+	
PcrG000473	h1tg000013l	387855	394507	+	
PcrG000474	h1tg000013l	402408	418119	+	
PcrG000475	h1tg000013l	421239	439902	+	
PcrG000476	h1tg000013l	441841	459200	-	
PcrG000477	h1tg000013l	473505	502555	+	
PcrG000478	h1tg000013l	513565	520630	+	
PcrG000479	h1tg000014l	13103	43829	+	
PcrG000480	h1tg000014l	44917	45294	-	
PcrG000481	h1tg000014l	50786	60083	-	
PcrG000482	h1tg000014l	62126	99329	-	
PcrG000483	h1tg000014l	110462	140394	-	
PcrG000484	h1tg000014l	142329	146487	-	
PcrG000485	h1tg000014l	146940	148910	+	
PcrG000486	h1tg000014l	151029	160592	+	
PcrG000487	h1tg000014l	165297	183553	-	
PcrG000488	h1tg000014l	283243	285799	+	
PcrG000489	h1tg000014l	310207	311046	+	
PcrG000490	h1tg000014l	373790	398621	+	
PcrG000491	h1tg000014l	414563	416386	+	
PcrG000492	h1tg000014l	423492	429904	-	
PcrG000493	h1tg000014l	430251	442728	+	
PcrG000494	h1tg000014l	450599	468838	+	
PcrG000495	h1tg000014l	473838	487051	-	
PcrG000496	h1tg000014l	489852	490736	+	
PcrG000497	h1tg000014l	497058	510506	+	
PcrG000498	h1tg000014l	520984	521868	+	
PcrG000499	h1tg000014l	633704	634960	+	
PcrG000500	h1tg000014l	885375	885899	-	
PcrG000501	h1tg000014l	885947	886237	-	
PcrG000502	h1tg000014l	893393	908413	+	
PcrG000503	h1tg000014l	921650	939359	-	
PcrG000504	h1tg000014l	1108825	1109199	-	
PcrG000505	h1tg000014l	1209611	1210612	+	
PcrG000506	h1tg000014l	1226459	1253323	-	
PcrG000507	h1tg000014l	1260458	1306438	+	
PcrG000508	h1tg000014l	1307782	1330320	+	
PcrG000509	h1tg000014l	1333107	1335474	+	
PcrG000510	h1tg000014l	1367459	1378629	+	
PcrG000511	h1tg000014l	1384139	1405874	+	
PcrG000512	h1tg000014l	1410369	1412651	-	
PcrG000513	h1tg000014l	1412812	1418249	+	
PcrG000514	h1tg000014l	1421053	1422374	-	
PcrG000515	h1tg000014l	1438502	1439260	+	
PcrG000516	h1tg000014l	1457835	1460981	+	
PcrG000517	h1tg000014l	1463183	1464130	-	
PcrG000518	h1tg000014l	1481905	1483233	+	
PcrG000519	h1tg000014l	1543555	1544010	-	
PcrG000520	h1tg000014l	1544040	1544285	-	
PcrG000521	h1tg000014l	1562041	1563363	-	
PcrG000522	h1tg000014l	1579892	1581223	-	
PcrG000523	h1tg000014l	1583875	1584588	+	
PcrG000524	h1tg000014l	1637053	1649747	+	
PcrG000525	h1tg000014l	1664872	1666179	-	
PcrG000526	h1tg000014l	1738897	1740146	+	
PcrG000527	h1tg000014l	1775621	1775938	-	
PcrG000528	h1tg000014l	1777864	1779186	-	
PcrG000529	h1tg000014l	1787998	1789293	-	
PcrG000530	h1tg000014l	1796917	1798257	-	
PcrG000531	h1tg000014l	1806699	1808124	-	
PcrG000532	h1tg000014l	1815414	1815770	-	
PcrG000533	h1tg000014l	1824407	1827568	+	
PcrG000534	h1tg000014l	1829757	1830785	-	
PcrG000535	h1tg000014l	1841136	1842464	+	
PcrG000536	h1tg000014l	1883898	1891334	-	
PcrG000537	h1tg000014l	1907916	1909136	+	
PcrG000538	h1tg000014l	1936746	1937198	-	
PcrG000539	h1tg000014l	2012282	2018070	-	
PcrG000540	h1tg000014l	2048545	2051829	+	
PcrG000541	h1tg000014l	2062583	2063334	-	
PcrG000542	h1tg000014l	2072916	2073674	+	
PcrG000543	h1tg000014l	2101958	2104907	+	
PcrG000544	h1tg000014l	2110349	2111539	-	
PcrG000545	h1tg000014l	2112286	2113623	+	
PcrG000546	h1tg000014l	2141198	2142773	+	
PcrG000547	h1tg000014l	2165821	2169321	-	
PcrG000548	h1tg000014l	2178940	2180280	-	
PcrG000549	h1tg000014l	2182594	2183928	-	
PcrG000550	h1tg000014l	2191893	2193206	-	
PcrG000551	h1tg000014l	2210629	2211843	-	
PcrG000552	h1tg000014l	2262513	2264669	+	
PcrG000553	h1tg000014l	2266855	2267397	-	
PcrG000554	h1tg000014l	2267447	2268193	-	
PcrG000555	h1tg000014l	2279556	2280884	+	
PcrG000556	h1tg000014l	2366396	2367253	-	
PcrG000557	h1tg000014l	2427408	2432242	+	
PcrG000558	h1tg000014l	2435109	2436443	-	
